userId,movieId,rating,timestamp
1,36,4.0,1294353003
1,14,3.0,1461806978
1,27,3.5,1541698470
1,31,4.0,1513118705
1,17,2.0,1516707923
1,32,2.0,1410001582
1,22,1.5,1423460967
1,13,4.5,1462923113
1,9,2.0,1370248665
1,18,1.5,1484177123
1,10,4.0,1564858573
1,35,4.0,1321047503
1,1,4.5,1395166715
1,5,4.5,1461047196
1,30,2.0,1470186760
1,16,2.0,1286021335
1,20,1.5,1434856610
1,6,4.0,1374303993
1,12,1.5,1535285039
1,2,4.5,1438064164
1,25,3.5,1314757338
2,8,5.0,1492823835
2,24,4.0,1431277642
2,34,2.0,1554376678
2,28,4.5,1359757338
2,18,1.0,1497587714
2,30,3.0,1551939552
2,2,4.0,1448237626
2,12,1.5,1386154419
2,6,5.0,1269958909
2,35,3.5,1361461604
2,20,1.5,1273810305
2,22,2.0,1405179872
2,16,1.5,1395167028
2,11,4.0,1464749635
2,25,2.5,1490537509
2,31,3.5,1298938821
2,21,1.0,1469944719
3,14,4.0,1357719947
3,36,5.0,1535923958
3,5,4.5,1357266818
3,17,1.5,1317151136
3,35,2.0,1419623111
3,15,3.5,1301805026
3,34,4.0,1284043356
3,10,3.0,1549616693
3,30,4.0,1481026275
3,18,2.0,1493470767
3,2,4.5,1402375312
3,13,4.5,1300160186
3,21,1.5,1340033132
3,12,1.0,1517400858
3,11,3.0,1450956398
3,22,2.0,1394470290
3,25,3.5,1449580799
3,23,3.0,1389264685
3,8,4.5,1328689640
3,1,4.5,1488927789
3,9,4.0,1453210558
3,24,2.5,1341652896
3,7,4.0,1506263576
3,32,3.5,1498599490
3,31,2.0,1460488878
4,5,5.0,1393301589
4,19,1.0,1421571818
4,30,3.5,1354830139
4,33,3.0,1484275308
4,28,4.5,1315690038
4,6,5.0,1575649693
4,29,3.0,1265999961
4,36,4.0,1491287934
4,25,3.0,1469726521
4,35,3.0,1473730941
4,20,1.5,1390869108
4,24,3.0,1400221119
4,12,1.5,1453859830
4,15,2.5,1296002788
4,14,2.0,1459883844
4,32,3.5,1478470852
5,15,3.0,1547768164
5,6,5.0,1376055207
5,24,2.5,1560208524
5,28,4.0,1511441186
5,9,3.5,1306957148
5,3,4.0,1539194017
5,14,2.0,1570412788
5,31,4.0,1430607991
5,17,1.0,1399891448
5,18,1.5,1556596375
5,11,4.0,1423870703
5,12,1.0,1501779901
5,35,2.5,1497860534
5,25,3.5,1274024477
5,7,4.5,1325088216
5,8,5.0,1323299760
5,16,1.0,1560003782
5,34,3.5,1291669614
5,13,4.5,1492956851
5,27,3.5,1440884630
5,1,4.0,1502517684
5,19,2.0,1475028958
5,29,4.0,1339577675
5,20,1.0,1481740205
6,18,1.5,1336155335
6,28,4.5,1502991490
6,34,4.0,1415686256
6,25,2.5,1486111545
6,31,2.0,1331638164
6,36,5.0,1275146659
6,11,4.0,1361508497
6,10,3.5,1273290868
6,14,3.0,1457494712
6,21,1.0,1510827535
6,24,3.0,1379905287
6,35,3.0,1330756891
6,23,2.5,1576531189
6,3,4.5,1536301523
6,15,2.5,1297458828
6,12,1.0,1441142386
6,30,3.0,1448031425
6,32,3.0,1433390852
6,4,5.0,1371468720
6,26,1.5,1339568088
6,7,5.0,1535085216
6,17,1.5,1362836608
6,20,1.0,1426224642
6,22,1.0,1561945508
7,15,2.5,1324772859
7,10,3.0,1312315985
7,27,3.0,1387539646
7,30,3.0,1406842583
7,20,1.5,1363674985
7,22,1.0,1357108867
7,28,5.0,1343555088
7,32,4.0,1298385386
7,35,2.5,1422349166
7,16,2.0,1330485511
7,33,2.5,1355884482
7,11,3.0,1465541297
7,5,4.0,1570642452
7,25,2.5,1398904085
7,6,4.5,1344841517
7,26,1.5,1543172652
7,12,2.0,1274761080
8,16,1.5,1414069117
8,9,2.5,1494671683
8,28,4.5,1421675374
8,4,4.5,1505654896
8,5,4.5,1368163763
8,33,3.0,1514383480
8,32,2.5,1415554307
8,31,2.0,1502241885
8,6,4.0,1367579634
8,10,4.0,1355119365
8,21,1.0,1285067342
8,12,1.5,1459389687
8,11,3.5,1506098766
8,19,1.5,1346025515
8,18,1.5,1478926866
8,34,2.5,1338666381
8,36,4.5,1507178750
8,7,4.5,1484884384
8,25,3.0,1471052804
8,13,4.0,1518161831
8,2,4.5,1504981348
8,23,3.0,1420534518
9,18,1.5,1273987982
9,15,2.5,1333094126
9,31,3.0,1397475687
9,28,4.5,1273934982
9,20,1.5,1441536243
9,6,4.5,1406018291
9,7,4.5,1376871717
9,24,3.5,1385019546
9,25,2.0,1562477909
9,32,3.0,1282212425
9,13,5.0,1278717486
9,16,2.0,1358027191
9,23,3.0,1408140355
9,4,4.5,1331657566
9,17,1.5,1270030890
10,19,2.0,1479494101
10,17,2.0,1436338265
10,3,4.0,1459193400
10,34,2.5,1365394836
10,9,3.5,1489307827
